Stunde;Azimut;Elevation
0.0000;335.6272;-33.9408
0.1667;338.5517;-34.5667
0.3333;341.5195;-35.1161
0.5000;344.5262;-35.5862
0.6667;347.5666;-35.9750
0.8333;350.6349;-36.2804
1.0000;353.7247;-36.5009
1.1667;356.8293;-36.6354
1.3333;359.9414;-36.6832
1.5000;3.0539;-36.6440
1.6667;6.1596;-36.5181
1.8333;9.2512;-36.3060
2.0000;12.3219;-36.0090
2.1667;15.3655;-35.6285
2.3333;18.3759;-35.1665
2.5000;21.3479;-34.6250
2.6667;24.2771;-34.0068
2.8333;27.1596;-33.3145
3.0000;29.9924;-32.5512
3.1667;32.7731;-31.7199
3.3333;35.5001;-30.8239
3.5000;38.1724;-29.8664
3.6667;40.7898;-28.8508
3.8333;43.3525;-27.7803
4.0000;45.8612;-26.6584
4.1667;48.3170;-25.4880
4.3333;50.7214;-24.2725
4.5000;53.0764;-23.0149
4.6667;55.3840;-21.7181
4.8333;57.6465;-20.3850
5.0000;59.8664;-19.0183
5.1667;62.0464;-17.6208
5.3333;64.1890;-16.1949
5.5000;66.2971;-14.7431
5.6667;68.3736;-13.2679
5.8333;70.4214;-11.7713
6.0000;72.4432;-10.2557
6.1667;74.4421;-8.7232
6.3333;76.4210;-7.1757
6.5000;78.3828;-5.6152
6.6667;80.3304;-4.0438
6.8333;82.2669;-2.4632
7.0000;84.1951;-0.8754
7.1667;86.1179;0.7179
7.3333;88.0384;2.3148
7.5000;89.9596;3.9136
7.6667;91.8844;5.5124
7.8333;93.8159;7.1094
8.0000;95.7572;8.7028
8.1667;97.7113;10.2908
8.3333;99.6814;11.8713
8.5000;101.6707;13.4426
8.6667;103.6824;15.0026
8.8333;105.7199;16.5491
9.0000;107.7865;18.0801
9.1667;109.8855;19.5933
9.3333;112.0205;21.0864
9.5000;114.1948;22.5568
9.6667;116.4119;24.0021
9.8333;118.6752;25.4195
10.0000;120.9883;26.8063
10.1667;123.3544;28.1593
10.3333;125.7767;29.4755
10.5000;128.2584;30.7516
10.6667;130.8022;31.9842
10.8333;133.4107;33.1697
11.0000;136.0859;34.3045
11.1667;138.8296;35.3847
11.3333;141.6427;36.4064
11.5000;144.5256;37.3657
11.6667;147.4780;38.2585
11.8333;150.4983;39.0809
12.0000;153.5843;39.8291
12.1667;156.7326;40.4992
12.3333;159.9386;41.0878
12.5000;163.1966;41.5914
12.6667;166.5001;42.0073
12.8333;169.8411;42.3329
13.0000;173.2110;42.5662
13.1667;176.6006;42.7058
13.3333;180.0000;42.7506
13.5000;183.3991;42.7004
13.6667;186.7879;42.5556
13.8333;190.1565;42.3170
14.0000;193.4957;41.9862
14.1667;196.7968;41.5652
14.3333;200.0521;41.0565
14.5000;203.2550;40.4630
14.6667;206.3999;39.7881
14.8333;209.4822;39.0353
15.0000;212.4986;38.2083
15.1667;215.4469;37.3111
15.3333;218.3257;36.3476
15.5000;221.1345;35.3217
15.6667;223.8739;34.2375
15.8333;226.5448;33.0988
16.0000;229.1490;31.9094
16.1667;231.6885;30.6731
16.3333;234.1659;29.3933
16.5000;236.5841;28.0735
16.6667;238.9460;26.7170
16.8333;241.2550;25.3268
17.0000;243.5143;23.9059
17.1667;245.7275;22.4571
17.3333;247.8979;20.9832
17.5000;250.0291;19.4867
17.6667;252.1244;17.9701
17.8333;254.1873;16.4356
18.0000;256.2212;14.8855
18.1667;258.2294;13.3220
18.3333;260.2152;11.7471
18.5000;262.1818;10.1628
18.6667;264.1326;8.5711
18.8333;266.0705;6.9739
19.0000;267.9987;5.3729
19.1667;269.9203;3.7701
19.3333;271.8383;2.1671
19.5000;273.7557;0.5659
19.6667;275.6755;-1.0317
19.8333;277.6006;-2.6241
20.0000;279.5341;-4.2094
20.1667;281.4790;-5.7857
20.3333;283.4380;-7.3511
20.5000;285.4143;-8.9038
20.6667;287.4107;-10.4417
20.8333;289.4302;-11.9629
21.0000;291.4758;-13.4651
21.1667;293.5503;-14.9464
21.3333;295.6567;-16.4042
21.5000;297.7979;-17.8364
21.6667;299.9767;-19.2405
21.8333;302.1958;-20.6139
22.0000;304.4580;-21.9540
22.1667;306.7656;-23.2579
22.3333;309.1212;-24.5229
22.5000;311.5269;-25.7459
22.6667;313.9845;-26.9239
22.8333;316.4957;-28.0537
23.0000;319.0616;-29.1320
23.1667;321.6832;-30.1557
23.3333;324.3606;-31.1213
23.5000;327.0936;-32.0254
23.6667;329.8813;-32.8649
23.8333;332.7221;-33.6363
24.0000;335.6138;-34.3366
